gene1,gene2,score
PRDM1,MAP4K5,-0.506343286
CDKN1A,PTPN13,-0.506335904
negative,CEBPB,-0.506319245
CEBPE,STIL,-0.506298401
FOXO4,MEIS1,-0.506297138
ZBTB10,TP73,-0.506244729
FOSB,JUN,-0.506234486
FOXA3,DUSP9,-0.506211093
LYL1,IKZF3,-0.50620983
PTPN1,SPI1,-0.506196515
MIDN,AHR,-0.506194764
ZNF318,HES7,-0.506187944
OSR2,ISL2,-0.506165369
CEBPB,C19orf26,-0.506162752
SLC4A1,TSC22D1,-0.506143829
EGR1,HES7,-0.506129902
PLEKHO2,CNN1,-0.506116449
MIDN,TSC22D1,-0.50610532
HOXC13,MAP7D1,-0.506080728
C3orf72,GCH1,-0.50607173
negative,C3orf72,-0.506067524
CDKN1C,FOXA1,-0.506063656
KIAA1804,MEIS1,-0.506056322
JUN,AHR,-0.506034003
CKS1B,FOXL2,-0.506032796
IKZF3,BCORL1,-0.506024215
FOXO4,UBASH3B,-0.506019267
MIDN,HES7,-0.506011478
STIL,BCORL1,-0.505998105
TBX3,PRTG,-0.505995662
IKZF3,EGR1,-0.505987915
POU3F2,HES7,-0.505983243
CITED1,JUN,-0.505981305
ZNF318,ARID1A,-0.505979305
SPI1,PRDM1,-0.505950371
CDKN1C,TGFBR2,-0.505947908
TGFBR2,MIDN,-0.505943866
STIL,FOXA1,-0.50593468
PRDM1,ZBTB10,-0.505933725
CDKN1C,KIAA1804,-0.505923944
HOXC13,MAPK1,-0.505905586
CEBPA,MAML2,-0.505905568
MAML2,CEBPA,-0.505886978
SAMD1,IRF1,-0.50587422
FOXA1,FOXO4,-0.505873565
SLC4A1,LHX1,-0.505861036
IGDCC3,HOXA13,-0.505850419
BAK1,C19orf26,-0.505837129
ATL1,CEBPA,-0.505834896
C3orf72,BCL2L11,-0.505819136
ZBTB1,ZBTB10,-0.505816404
BCORL1,PLEKHO2,-0.505815718
HOXC13,MAP7D1,-0.505810237
FOXO4,S1PR2,-0.505774888
SET,PTPN1,-0.505764334
CEBPA,negative,-0.505762357
PRTG,TBX3,-0.505757368
KIF2C,TP73,-0.505754186
SET,ZBTB1,-0.505727229
BCORL1,PRDM1,-0.505723301
ATL1,CKS1B,-0.505713119
HK2,BAK1,-0.505704847
CDKN1A,ATL1,-0.505700204
UBASH3A,FOXA3,-0.505695539
C3orf72,CDKN1B,-0.505688003
CITED1,C3orf72,-0.505663553
PRDM1,negative,-0.505658438
DUSP9,DLX2,-0.505655904
HOXC13,TMSB4X,-0.505650982
LHX1,PTPN13,-0.505638661
HOXC13,CITED1,-0.505632376
SLC4A1,ETS2,-0.505629164
PTPN1,KMT2A,-0.505613563
HOXA13,PTPN9,-0.505583668
HNF4A,KIF18B,-0.505581134
IER5L,CKS1B,-0.505578988
C3orf72,MCOLN3,-0.505570222
COL1A1,SAMD1,-0.505569181
C3orf72,negative,-0.505555308
ARID1A,FOXO4,-0.505548744
OSR2,HES7,-0.505516344
FOXO4,BPGM,-0.505509974
HES7,OSR2,-0.505505793
negative,HNF4A,-0.505489273
FOXO4,KIF2C,-0.505478272
PLK4,COL2A1,-0.505476278
HOXB9,MIDN,-0.505476092
CEBPE,UBASH3B,-0.505471982
HES7,BCORL1,-0.505461426
IKZF3,S1PR2,-0.505459201
BPGM,SPI1,-0.505450992
IKZF3,PRDM1,-0.505396333
CEBPB,NCL,-0.505390693
C3orf72,EGR1,-0.505362446
CKS1B,HOXA13,-0.505331439
JUN,UBASH3B,-0.505324179
FOXL2,AHR,-0.505311001
JUN,HNF4A,-0.505308965
C3orf72,HES7,-0.505291162
SAMD1,ARID1A,-0.505279094
IGDCC3,LYL1,-0.505274585
OSR2,KIAA1804,-0.505260114
PIK3CB,BAK1,-0.505243075
C19orf26,ARID1A,-0.505167283
EGR1,PRDM1,-0.505163082
FOXO4,OSR2,-0.505159283
C3orf72,SLC38A2,-0.505122022
JUN,KIF2C,-0.505101291
HNF4A,RREB1,-0.505079263
ARID1A,CITED1,-0.505078836
HOXB9,PLEKHO2,-0.505070922
JUN,HK2,-0.5050562
MAP4K5,SPI1,-0.505049793
KIF2C,ZBTB10,-0.505047273
HES7,TBX3,-0.505033422
FOXO4,S1PR2,-0.505029244
PTPN1,UBASH3B,-0.505022954
MEIS1,ARID1A,-0.505006126
TSC22D1,FOXA3,-0.505002837
HOXC13,MAPK1,-0.50499762
PTPN1,TBX2,-0.504989447
EGR1,NIT1,-0.504988949
ETS2,PRDM1,-0.504973699
COL1A1,ATL1,-0.504950454
BCORL1,PRTG,-0.504942808
DLX2,HES7,-0.504937337
MEIS1,FOXA1,-0.504935274
LHX1,PRTG,-0.504929403
HOXA13,HK2,-0.504906524
AHR,JUN,-0.504876038
RHOXF2B,PTPN12,-0.504874569
SPI1,ETS2,-0.504874034
FOXO4,BCL2L11,-0.504831568
BAK1,PRTG,-0.504811038
UBASH3B,BAK1,-0.50480937
ATL1,MIDN,-0.504786536
BAK1,IRF1,-0.504770285
FOXA3,KIF18B,-0.504750927
FOXO4,CITED1,-0.504746754
ATL1,BAK1,-0.504745992
EGR1,SLC4A1,-0.504736068
ARRDC3,SNAI1,-0.504732292
ZNF318,BAK1,-0.504718044
OSR2,FOXA1,-0.504711619
TSC22D1,CEBPB,-0.504707336
PRTG,MAP7D1,-0.504672996
COL2A1,HNF4A,-0.504671019
CEBPE,KIF18B,-0.504629816
NCL,PRDM1,-0.504625138
FOXO4,CNN1,-0.504623198
SNAI1,FOXL2,-0.504618195
FOXL2,ZBTB1,-0.50461574
HOXA13,NCL,-0.504599882
PLEKHO2,HOXA13,-0.504584173
PRTG,C19orf26,-0.504574907
CDKN1A,FOXO4,-0.504552865
CBFA2T3,ATL1,-0.504550497
PLEKHO2,IGDCC3,-0.504538069
HOXA13,BCORL1,-0.504521934
AHR,SAMD1,-0.504519859
TP73,CDKN1A,-0.504519762
CDKN1B,FOXF1,-0.504516833
MIDN,ATL1,-0.504486388
LHX1,ARID1A,-0.504484367
IGDCC3,HES7,-0.504442771
KMT2A,COL1A1,-0.504437814
CLDN6,SLC4A1,-0.504433692
CLDN6,PTPN1,-0.504432812
SNAI1,MAP4K5,-0.504424357
PRDM1,BCR,-0.504423139
SNAI1,STIL,-0.504408399
MAP7D1,BAK1,-0.504387676
STIL,FOXA3,-0.504382509
BCORL1,C3orf72,-0.504379472
MIDN,ATL1,-0.504379161
ATL1,C3orf72,-0.504367117
FOXL2,ETS2,-0.504366393
POU3F2,CITED1,-0.504361315
CEBPE,IGDCC3,-0.504351535
CEBPE,ARRDC3,-0.50434921
SLC4A1,CEBPE,-0.504344532
POU3F2,PRTG,-0.504326221
SGK1,KIAA1804,-0.504314226
S1PR2,CEBPB,-0.50431332
UBASH3A,COL2A1,-0.504310627
HOXC13,MAP2K6,-0.504309353
MAP4K5,PRDM1,-0.504308477
BPGM,HOXC13,-0.504302787
RREB1,FOXA1,-0.504299469
PLEKHO2,FOXA1,-0.504291544
CEBPB,ATL1,-0.504264357
HNF4A,GCH1,-0.504259351
LHX1,BAK1,-0.504242471
HNF4A,CBFA2T3,-0.504233719
HES7,negative,-0.504231377
MIDN,FOXA1,-0.504195477
DLX2,HOXC13,-0.504186295
ATL1,MEIS1,-0.50417903
HES7,negative,-0.504155582
RHOXF2B,BPGM,-0.504153231
CEBPE,TGFBR2,-0.504144907
PRDM1,IER5L,-0.504143197
CEBPB,IKZF3,-0.504127482
IKZF3,KIF2C,-0.504119736
CEBPB,ZBTB10,-0.504111813
ARRDC3,CITED1,-0.504111697
S1PR2,FOXO4,-0.504100287
PTPN1,FOXA1,-0.504069304
ATL1,PLEKHO2,-0.504052325
KIF18B,RHOXF2B,-0.504039713
IGDCC3,DUSP9,-0.504024357
HNF4A,MIDN,-0.504003218
IGDCC3,ZBTB25,-0.503984957
FOXO4,BCL2L11,-0.503972698
SAMD1,HOXC13,-0.503964934
SPI1,TBX2,-0.503944031
SLC4A1,NCL,-0.503936265
CEBPE,FEV,-0.503914155
BCL2L11,PRDM1,-0.503910497
FOXL2,FOXO4,-0.503892939
MIDN,POU3F2,-0.503855285
HES7,PIK3CB,-0.503850263
FOXA3,KIAA1804,-0.503847079
HES7,KIF2C,-0.503825866
RHOXF2B,SLC4A1,-0.503816607
TGFBR2,HOXA13,-0.50381318
PTPN1,ATL1,-0.503794511
DLX2,ZBTB10,-0.503793539
MAP2K3,BAK1,-0.503784491
HOXB9,JUN,-0.503781435
BAK1,UBASH3B,-0.503765562
CDKN1C,CBL,-0.503763597
ATL1,HK2,-0.503758764
SPI1,TSC22D1,-0.50375537
FOXA3,HOXC13,-0.503748052
PRTG,OSR2,-0.503720967
DLX2,CNNM4,-0.503691211
COL2A1,CKS1B,-0.503688161
FOXO4,MIDN,-0.503679288
SLC4A1,TBX3,-0.503673405
FOXL2,CDKN1C,-0.503654195
MIDN,TP73,-0.503650062
SAMD1,SPI1,-0.503644036
FOXL2,MIDN,-0.503641416
STIL,IKZF3,-0.503636477
ZBTB1,CDKN1C,-0.503631498
STIL,ARID1A,-0.503628408
RREB1,FOXA1,-0.503621527
RHOXF2B,ZBTB10,-0.503618191
CEBPB,negative,-0.503615748
RHOXF2B,ZNF318,-0.503600593
CLDN6,CEBPB,-0.503595048
MIDN,FOXA3,-0.503590736
DUSP9,CITED1,-0.50355125
PEG10,HOXC13,-0.503529516
KIF2C,FOXF1,-0.503521221
MEIS1,COL2A1,-0.503521195
DLX2,ARID1A,-0.503499433
SPI1,PLEKHO2,-0.503490125
HOXA13,CDKN1C,-0.503470039
HOXA13,CSRNP1,-0.503459174
PLK4,JUN,-0.503453435
BAK1,MAP2K3,-0.50345164
CDKN1C,BPGM,-0.503419827
RHOXF2B,CBFA2T3,-0.50341632
MAPK1,CEBPA,-0.50341278
HES7,NCL,-0.503408801
HES7,GCH1,-0.503392967
BAK1,DLX2,-0.50338358
BAK1,PRTG,-0.503375354
FOXA1,COL2A1,-0.503365505
SPI1,KMT2A,-0.503352403
HOXC13,NCL,-0.503345629
KIAA1804,ARID1A,-0.503344443
NCL,PRDM1,-0.503312786
CEBPE,BCL2L11,-0.503307252
SAMD1,IGDCC3,-0.503296809
HNF4A,ZBTB10,-0.503278561
SPI1,CDKN1C,-0.503241434
CDKN1B,COL2A1,-0.503240161
ZNF318,ZBTB10,-0.503239509
CEBPE,negative,-0.503226479
HES7,TMSB4X,-0.503180461
HOXA13,KMT2A,-0.503173467
MIDN,CEBPA,-0.503172941
CBFA2T3,POU3F2,-0.503171838
IGDCC3,CLDN6,-0.503161273
S1PR2,FOXL2,-0.503161045
AHR,FOXO4,-0.503133807
IER5L,FOXA3,-0.503130805
PTPN13,BAK1,-0.50312266
CEBPB,BCR,-0.503120375
CDKN1B,FOXL2,-0.503119144
TP73,MAP2K3,-0.503117905
CEBPB,S1PR2,-0.50310111
C3orf72,BCR,-0.503100953
negative,SLC4A1,-0.503069722
IER5L,SAMD1,-0.503068921
CEBPA,SGK1,-0.503060844
IER5L,HOXB9,-0.503022899
CEBPA,MEIS1,-0.503022461
RREB1,KIF18B,-0.503017177
LHX1,FOXA1,-0.503015593
FOXO4,KIF2C,-0.503007214
PTPN9,CEBPA,-0.50299364
KIAA1804,CEBPB,-0.502975012
ATL1,ISL2,-0.502932014
TSC22D1,ARID1A,-0.502903443
ARID1A,PRTG,-0.502883185
PRDM1,ARRDC3,-0.502878032
RHOXF2B,IKZF3,-0.502871896
FOXA1,HNF4A,-0.502865209
FOXO4,COL2A1,-0.50285725
negative,HOXC13,-0.502833466
LHX1,RHOXF2B,-0.502829624
FOXO4,PEG10,-0.502829558
negative,PLEKHO2,-0.502818014
BCL2L11,C3orf72,-0.502800231
ATL1,PLEKHO2,-0.502792059
ARRDC3,HES7,-0.502768912
SLC38A2,BAK1,-0.502758072
COL2A1,OSR2,-0.502757133
JUN,FOXA1,-0.502751609
FOXF1,IKZF3,-0.502737408
SPI1,ZNF318,-0.502713449
FOXA1,AHR,-0.502712412
PRTG,CBL,-0.502708859
PRDM1,SLC6A9,-0.502706041
IER5L,HNF4A,-0.502705388
HOXC13,CNNM4,-0.502702135
AHR,KIF18B,-0.502689904
RHOXF2B,HNF4A,-0.50268651
CEBPE,GCH1,-0.502676071
CEBPB,KMT2A,-0.50267086
HOXC13,PTPN1,-0.50266128
KMT2A,CDKN1C,-0.502655894
COL2A1,IGDCC3,-0.502655156
CEBPE,TBX3,-0.502652664
PTPN13,CEBPE,-0.502627701
HES7,LYL1,-0.502605166
PLEKHO2,MAP4K5,-0.502586494
COL1A1,PTPN13,-0.50255474
BAK1,PTPN1,-0.502553805
SNAI1,IER5L,-0.502542272
TMSB4X,TP73,-0.502536081
IRF1,HOXA13,-0.502490588
CEBPE,negative,-0.502466134
HNF4A,STIL,-0.502422778
CBL,CDKN1C,-0.502400082
IKZF3,KMT2A,-0.502395265
CNN1,CEBPE,-0.502380395
IKZF3,CITED1,-0.502380349
DUSP9,ARID1A,-0.502365075
CEBPB,PEG10,-0.502359085
PRDM1,BPGM,-0.502348556
CELF2,PRDM1,-0.502345917
negative,C3orf72,-0.502345542
HOXB9,SLC4A1,-0.502342844
COL1A1,PLK4,-0.502330931
IER5L,PTPN1,-0.502326126
COL1A1,PTPN9,-0.50232225
FOXA1,OSR2,-0.502291804
LHX1,FOXL2,-0.502281708
JUN,PLK4,-0.502263951
LHX1,AHR,-0.502258272
POU3F2,FOXA3,-0.502249546
CEBPB,CDKN1C,-0.502230907
ZBTB1,SLC4A1,-0.502199847
OSR2,PLEKHO2,-0.502172305
SPI1,BCORL1,-0.502159885
NIT1,COL2A1,-0.5021455
MCOLN3,IKZF3,-0.502136333
AHR,ZBTB10,-0.502133164
RHOXF2B,C19orf26,-0.502099974
SAMD1,PTPN13,-0.502091748
KIF2C,RHOXF2B,-0.502083573
AHR,HNF4A,-0.502058852
HES7,PLK4,-0.502030427
ZBTB10,ZBTB10,-0.502024867
OSR2,FOXA1,-0.502008077
CDKN1C,GLB1L2,-0.501983218
CDKN1C,HNF4A,-0.501978429
CDKN1A,SPI1,-0.501971368
FOXA1,MIDN,-0.501963076
negative,ZBTB10,-0.501959438
CITED1,ATL1,-0.501955228
COL2A1,SPI1,-0.50193304
KMT2A,CEBPE,-0.501925174
ATL1,PTPN12,-0.501907658
CBL,UBASH3B,-0.501905441
SAMD1,ARID1A,-0.501893756
PRTG,CITED1,-0.501878349
FOXF1,CDKN1C,-0.501869699
MIDN,PLEKHO2,-0.501863643
GCH1,CEBPE,-0.501855216
CEBPB,PLK4,-0.501843322
EGR1,COL2A1,-0.501839958
AHR,SGK1,-0.501834663
FOXA1,CEBPE,-0.501820954
ATL1,CNNM4,-0.501819708
PRTG,HOXB9,-0.501812446
STIL,COL1A1,-0.501800109
HOXA13,CLDN6,-0.501782172
NCL,AHR,-0.501771353
CNN1,PRTG,-0.501728594
BCL2L11,IKZF3,-0.501701684
FOXO4,C19orf26,-0.501677497
CBFA2T3,TP73,-0.501660948
IGDCC3,ATL1,-0.50164907
PRTG,CNN1,-0.501631436
HOXA13,PLK4,-0.501629243
FOXO4,KMT2A,-0.501617506
ARID1A,SPI1,-0.501610369
HOXB9,DUSP9,-0.501597927
AHR,AHR,-0.501572804
CLDN6,DUSP9,-0.501563767
ATL1,CITED1,-0.501543732
ZBTB10,negative,-0.501521132
SAMD1,CDKN1B,-0.501504634
CBL,CNN1,-0.501498187
SLC4A1,KIAA1804,-0.501496888
LHX1,POU3F2,-0.501475937
CLDN6,CNN1,-0.501452859
DLX2,NIT1,-0.501446493
CLDN6,PTPN13,-0.50143092
TBX3,LHX1,-0.501394917
LYL1,C3orf72,-0.501393811
HOXC13,PEG10,-0.501393768
TSC22D1,ATL1,-0.501373168
JUN,DLX2,-0.501339535
HOXC13,GCH1,-0.501338522
KIF2C,FOXL2,-0.501294752
MAP7D1,ZBTB10,-0.501280702
BCL2L11,HNF4A,-0.501277617
DUSP9,RREB1,-0.501261645
IKZF3,negative,-0.501242332
negative,PRDM1,-0.501226862
CDKN1C,MIDN,-0.50119892
CITED1,FOXA3,-0.501184824
ZNF318,IKZF3,-0.50118325
STIL,AHR,-0.501172234
CITED1,MIDN,-0.501171579
CBL,JUN,-0.501142706
NCL,HOXC13,-0.501142327
HOXB9,PRDM1,-0.501138128
ARID1A,ETS2,-0.501131791
IER5L,CLDN6,-0.501120543
SAMD1,CEBPE,-0.501118683
KIAA1804,DUSP9,-0.501107554
HES7,ZBTB1,-0.501096981
CEBPE,LHX1,-0.501089792
CBFA2T3,ARID1A,-0.501079567
TMSB4X,C3orf72,-0.501073087
COL1A1,DUSP9,-0.501065948
CITED1,CITED1,-0.501031559
HOXA13,SLC6A9,-0.50100581
CEBPB,MAPK1,-0.501000148
HOXA13,HES7,-0.500998315
SLC4A1,GCH1,-0.500997481
PRDM1,HOXB9,-0.500972764
CDKN1B,HOXA13,-0.500965654
negative,C3orf72,-0.500963131
HES7,CELF2,-0.500960471
BAK1,MAP4K3,-0.500957798
HES7,HOXC13,-0.500949778
CEBPE,COL1A1,-0.500915226
FOXL2,CBL,-0.50090183
IKZF3,TBX3,-0.50090036
CEBPE,DLX2,-0.500883511
PRDM1,DLX2,-0.500866188
HOXB9,ZNF318,-0.500856498
CELF2,SLC4A1,-0.50084242
SLC4A1,LYL1,-0.500840341
IER5L,UBASH3B,-0.500829034
HES7,KIAA1804,-0.500826138
HOXC13,IRF1,-0.500824132
HOXC13,TP73,-0.500822759
ATL1,ARID1A,-0.50080852
CBL,CDKN1C,-0.50080166
FOXA1,RREB1,-0.50077805
MAPK1,PLEKHO2,-0.500765458
BAK1,HOXB9,-0.500737057
FEV,FOXA1,-0.500735412
FOXO4,FEV,-0.500732763
CEBPB,CBL,-0.500725374
HES7,TBX3,-0.500721959
SNAI1,AHR,-0.500721532
IRF1,IGDCC3,-0.500711198
KIAA1804,AHR,-0.500705961
S1PR2,ZBTB10,-0.500705151
SPI1,negative,-0.500700284
SLC6A9,IKZF3,-0.50068325
CNN1,SAMD1,-0.50066594
BAK1,CLDN6,-0.500661474
AHR,LHX1,-0.500625046
SPI1,ELMSAN1,-0.500614158
NIT1,CSRNP1,-0.500612306
HOXA13,RUNX1T1,-0.500597377
KIF2C,SLC4A1,-0.500584135
PTPN13,FOXA1,-0.500581983
CEBPA,CDKN1A,-0.500578928
FOXF1,BAK1,-0.500575541
MAP2K3,SLC4A1,-0.500570707
CDKN1C,FOXF1,-0.500564815
JUN,ATL1,-0.500554506
SET,SPI1,-0.50054674
HOXC13,ZBTB25,-0.500533489
C3orf72,SET,-0.500522839
SET,ARID1A,-0.500522018
EGR1,PRTG,-0.500496632
MIDN,FOXA3,-0.500494954
DLX2,RREB1,-0.500488799
BAK1,TP73,-0.500439756
CBL,HOXC13,-0.500433136
ATL1,PTPN12,-0.500406608
HES7,MAP7D1,-0.500390171
SPI1,PLK4,-0.500389926
ETS2,HOXC13,-0.500380452
ARID1A,ZBTB10,-0.500379799
CEBPB,MCOLN3,-0.500349211
SAMD1,SPI1,-0.50034754
IKZF3,FOXF1,-0.500345896
FOXA3,FOXL2,-0.500307748
HOXB9,PTPN1,-0.500305327
HK2,ATL1,-0.500298687
negative,C3orf72,-0.500291891
negative,HOXC13,-0.500275738
IKZF3,negative,-0.50025996
CITED1,IER5L,-0.500247458
C19orf26,KIAA1804,-0.500247158
S1PR2,TP73,-0.500220355
BAK1,PIK3CB,-0.500218659
SPI1,CNNM4,-0.500195712
ATL1,SLC4A1,-0.500178905
KIF2C,FOXA3,-0.500173454
FOXL2,MIDN,-0.50016894
IKZF3,KMT2A,-0.500153918
PRDM1,RUNX1T1,-0.500152942
STIL,ZBTB10,-0.500149164
PTPN12,IKZF3,-0.500142033
C3orf72,negative,-0.500137505
MCOLN3,ZBTB10,-0.500124696
FOXO4,CBFA2T3,-0.500115248
HOXB9,ATL1,-0.500101832
FOXL2,C3orf72,-0.500094385
HNF4A,negative,-0.500071577
PRDM1,MAP7D1,-0.500067425
FOXO4,negative,-0.500058355
FOXL2,FOXA3,-0.500051908
ARRDC3,PRTG,-0.500039702
JUN,KIF18B,-0.500016244
CEBPB,negative,-0.50000534
BAK1,CELF2,-0.500002385
TMSB4X,ATL1,-0.499987134
CELF2,BAK1,-0.499971788
PIK3CB,CEBPB,-0.499959398
CELF2,CEBPE,-0.499958151
ATL1,CBFA2T3,-0.49993713
CLDN6,SAMD1,-0.499929522
PTPN13,BAK1,-0.499904551
CBFA2T3,KIAA1804,-0.499899872
DUSP9,HOXB9,-0.499889625
MAP7D1,FOXL2,-0.49988947
FOXO4,FOXL2,-0.499861279
LYL1,C3orf72,-0.499855212
PRTG,IKZF3,-0.499851461
COL2A1,DLX2,-0.499840892
OSR2,NIT1,-0.499839013
MAP7D1,ATL1,-0.499834944
IGDCC3,RUNX1T1,-0.499826561
TBX2,ATL1,-0.499822978
HOXA13,CEBPB,-0.499814564
CDKN1A,BAK1,-0.499813664
SLC4A1,CLDN6,-0.499812492
MAP7D1,HNF4A,-0.499802175
PTPN13,PTPN1,-0.499779269
IER5L,CNNM4,-0.499767117
C3orf72,BPGM,-0.499764976
negative,ZBTB10,-0.499750192
CBFA2T3,FOXO4,-0.499740082
C3orf72,BAK1,-0.499720429
ARRDC3,FOXO4,-0.499702595
SAMD1,CLDN6,-0.499698408
FOXA1,CEBPB,-0.499675927
LHX1,COL1A1,-0.499668658
HK2,FOXO4,-0.499663473
HES7,IRF1,-0.499662752
IGDCC3,CNN1,-0.499660789
PEG10,CEBPB,-0.49965892
HOXC13,ARRDC3,-0.499642052
PTPN1,CBL,-0.499633854
negative,SPI1,-0.499633681
ATL1,CBL,-0.499616964
ATL1,IER5L,-0.499605219
ARID1A,C19orf26,-0.499568291
DLX2,ATL1,-0.499560245
HOXA13,TBX3,-0.499557758
CEBPB,UBASH3B,-0.499557148
IER5L,ZBTB10,-0.499534898
NIT1,TMEM173,-0.499532084
ZBTB10,MAP4K5,-0.499516895
TBX3,COL2A1,-0.499506336
CNN1,PTPN1,-0.499505346
NIT1,DUSP9,-0.499504171
DUSP9,ARID1A,-0.499477439
STIL,PLEKHO2,-0.499467496
CLDN6,POU3F2,-0.499453834
FOXF1,IGDCC3,-0.499445916
CDKN1C,HOXC13,-0.49944473
CEBPA,TBX2,-0.499433235
C3orf72,TBX2,-0.499412709
ZBTB10,SAMD1,-0.499410237
FOXO4,MAP4K5,-0.499407384
C3orf72,TMSB4X,-0.499406904
MCOLN3,PLEKHO2,-0.499394329
HOXC13,CELF2,-0.499379355
UBASH3B,DUSP9,-0.499370857
SPI1,ISL2,-0.49936963
ARID1A,ATL1,-0.499351091
SLC38A2,HOXC13,-0.499309428
SLC4A1,GLB1L2,-0.499306764
CEBPE,FOSB,-0.4993041
PRDM1,PTPN12,-0.499283323
IER5L,COL1A1,-0.499279505
FOXA1,STIL,-0.499272986
ZBTB10,FOSB,-0.499260057
FOXA1,SPI1,-0.499257481
RHOXF2B,UBASH3A,-0.49922822
IGDCC3,BPGM,-0.499225499
CBL,HOXA13,-0.499217114
PTPN9,PRTG,-0.499206269
PLK4,HNF4A,-0.499203217
PRTG,ARID1A,-0.499196128
POU3F2,FEV,-0.499176259
FOXA3,ATL1,-0.499171327
IKZF3,PTPN12,-0.499169582
ATL1,CDKN1A,-0.499166908
FOXO4,SLC4A1,-0.49915403
HK2,HOXC13,-0.499146967
IER5L,COL2A1,-0.49914283
SPI1,HK2,-0.49913482
SLC6A9,NIT1,-0.499084144
PTPN13,FOSB,-0.499041098
PRDM1,TMSB4X,-0.499041043
PRTG,ARRDC3,-0.499032962
UBASH3A,PTPN1,-0.49901519
negative,SPI1,-0.498994305
MIDN,LHX1,-0.49896069
ZBTB1,BAK1,-0.498947262
MCOLN3,FOXO4,-0.498937972
FOXL2,GLB1L2,-0.498933668
ATL1,PEG10,-0.498932713
FOXL2,TBX2,-0.498910682
SET,NIT1,-0.498894378
PLEKHO2,IER5L,-0.498890208
BAK1,HK2,-0.498888896
CITED1,HOXC13,-0.498886869
IGDCC3,TBX3,-0.498877954
IKZF3,CDKN1B,-0.498877693
HK2,HES7,-0.498870673
SAMD1,LHX1,-0.498867404
ZNF318,IKZF3,-0.498847949
PRDM1,KIF2C,-0.498843636
PLEKHO2,FEV,-0.49882425
HOXB9,PRTG,-0.498821766
C19orf26,PLEKHO2,-0.498814469
PTPN1,HOXC13,-0.49879031
TBX3,ATL1,-0.498773233
KIF18B,ZBTB10,-0.498766279
KIF18B,AHR,-0.498752843
negative,CEBPE,-0.498752709
CBFA2T3,SLC4A1,-0.498751269
IKZF3,ELMSAN1,-0.498738798
ARID1A,TMEM173,-0.498709295
CNNM4,SPI1,-0.498644961
ATL1,FOXO4,-0.498631452
OSR2,FOSB,-0.498607154
IER5L,HOXB9,-0.498606213
CDKN1C,JUN,-0.498599052
KMT2A,ATL1,-0.498584995
CDKN1B,LHX1,-0.498576563
ARID1A,COL2A1,-0.498573634
SPI1,IER5L,-0.498570107
DLX2,AHR,-0.498563904
CDKN1A,PRDM1,-0.498512597
AHR,FOSB,-0.498503173
FOXO4,GCH1,-0.498481263
HOXC13,GLB1L2,-0.498481174
COL1A1,TGFBR2,-0.498452564
CBFA2T3,HOXB9,-0.498448663
SGK1,CDKN1C,-0.498443089
JUN,SAMD1,-0.498440189
DUSP9,CEBPA,-0.498438808
HES7,FOXL2,-0.498418651
TMSB4X,NIT1,-0.498413948
PRDM1,ELMSAN1,-0.49841203
NIT1,MAP2K6,-0.498390979
CDKN1C,POU3F2,-0.498357895
ARID1A,BPGM,-0.498351636
POU3F2,NIT1,-0.498330206
TGFBR2,CLDN6,-0.498327738
CDKN1C,MEIS1,-0.498309156
ZBTB1,AHR,-0.498300004
FOXA1,ARRDC3,-0.49828507
ATL1,FOXA3,-0.49827999
BAK1,HOXB9,-0.498266341
TBX2,SLC4A1,-0.49826537
TBX3,CEBPB,-0.498259648
ZBTB10,CDKN1A,-0.49825119
RHOXF2B,KIF2C,-0.498247296
PLEKHO2,CDKN1C,-0.498202907
CNNM4,IKZF3,-0.498200698
CITED1,FOXF1,-0.498200673
IGDCC3,CDKN1C,-0.49818619
COL2A1,IRF1,-0.498185451
ZBTB10,FOXF1,-0.498142254
IKZF3,TSC22D1,-0.498137708
CEBPB,GLB1L2,-0.498119809
CDKN1A,BAK1,-0.498113819
FOSB,SPI1,-0.498086618
HOXA13,GCH1,-0.498085768
IER5L,ZBTB25,-0.498079439
FOXO4,ZBTB1,-0.498072862
SAMD1,UBASH3B,-0.498058694
BAK1,FOXO4,-0.49805494
FOXL2,PLK4,-0.498053176
CEBPB,RUNX1T1,-0.497996905
CLDN6,RREB1,-0.497989645
MAP7D1,PRDM1,-0.497982374
C19orf26,FOXA1,-0.497980842
MIDN,BAK1,-0.497977184
CDKN1C,EGR1,-0.497964306
NCL,IER5L,-0.497953326
PRDM1,TGFBR2,-0.497948387
PLEKHO2,GCH1,-0.497946242
ZBTB1,FOXO4,-0.49794422
IER5L,FOSB,-0.497938052
ARRDC3,ZBTB10,-0.497924617
AHR,FOXA3,-0.497907562
DUSP9,PTPN1,-0.49788126
POU3F2,CLDN6,-0.497874022
PRDM1,ZBTB1,-0.497863771
RHOXF2B,CDKN1A,-0.497862302
COL1A1,SLC4A1,-0.497860986
IKZF3,FOXL2,-0.497828886
CNNM4,BAK1,-0.497826645
IGDCC3,AHR,-0.497788956
BAK1,SPI1,-0.497779568
BCR,IKZF3,-0.497760611
ARID1A,IGDCC3,-0.497745709
FOXO4,PTPN9,-0.497744322
IER5L,UBASH3B,-0.497701218
PLEKHO2,POU3F2,-0.497699788
PRDM1,KIF18B,-0.497679696
ATL1,PTPN1,-0.497674178
HNF4A,CEBPE,-0.497657911
HOXA13,NIT1,-0.497655527
COL2A1,LHX1,-0.497654758
