id1,id2,score
RE-MOL-0000239211,negative,13.6591643714
RE-MOL-0000448861,negative,3.9815952808
RE-MOL-0000123129,negative,26.0391643714
RE-MOL-0000048704,negative,10.1415952808
RE-MOL-0000001293,negative,51.4915952808
RE-MOL-0000230359,negative,9.1015952808
RE-MOL-0000005427,negative,13.0615952808
RE-MOL-0000192053,negative,40.2915952808
RE-MOL-0000021716,negative,26.3591643714
RE-MOL-0000318902,negative,30.5191643714
RE-MOL-0000043950,negative,56.5591643714
RE-MOL-0000123129,negative,8.2991643714
RE-MOL-0000006419,negative,44.8691643714
RE-MOL-0000311663,negative,3.1891643714
RE-MOL-0000017325,negative,32.2315952808
RE-MOL-0000043950,negative,52.8791643714
RE-MOL-0000017147,negative,22.2391643714
RE-MOL-0000024449,negative,41.1215952808
RE-MOL-0000042933,negative,4.8501836433
RE-MOL-0000006419,negative,28.2291643714
RE-MOL-0000213627,negative,59.6215952808
RE-MOL-0000005427,negative,6.3415952808
RE-MOL-0000448861,negative,0.9015952808000001
RE-MOL-0000001293,negative,32.2015952808
RE-MOL-0000213627,negative,56.8015952808
RE-MOL-0000075835,negative,65.27916
RE-MOL-0000005427,negative,12.5916
RE-MOL-0000017325,negative,30.2815952808
RE-MOL-0000192053,negative,24.0016
RE-MOL-0000402554,negative,1.539164
RE-MOL-0000075835,negative,70.53916
RE-MOL-0000316629,negative,26.54018
RE-MOL-0000192053,negative,54.0016
RE-MOL-0000001293,negative,49.1416
RE-MOL-0000239211,negative,7.689164
RE-MOL-0000575640,negative,89.1116
RE-MOL-0000011320,negative,10.26916
RE-MOL-0000024449,negative,35.5816
RE-MOL-0000448861,negative,10.0716
RE-MOL-0000017325,negative,29.0216
RE-MOL-0000001293,negative,47.4816
RE-MOL-0000264161,negative,4.499164
RE-MOL-0000046105,negative,6.511595
RE-MOL-0000005874,negative,7.073595
RE-MOL-0000316629,negative,15.83018
RE-MOL-0000377210,negative,32.2616
RE-MOL-0000000470,negative,33.0916
RE-MOL-0000017147,negative,24.55916
RE-MOL-0000327486,negative,23.78318
RE-MOL-0000001940,negative,2.349164
RE-MOL-0000075422,negative,17.96916
RE-MOL-0000017147,negative,25.58916
RE-MOL-0000402554,negative,6.979164
RE-MOL-0000001940,negative,9.339164
RE-MOL-0000318902,negative,22.77916
RE-MOL-0000020425,negative,69.0146
RE-MOL-0000007863,negative,16.00916
RE-MOL-0000009769,negative,38.9516
RE-MOL-0001086878,negative,7.181595
RE-MOL-0000000603,negative,7.351595
RE-MOL-0000024449,negative,28.1916
RE-MOL-0000061053,negative,55.7916
RE-MOL-0000021716,negative,37.99916
