id1,id2,score
RE-MOL-0000002081,negative,61.1815952808
RE-MOL-0000046105,negative,11.1215952808
RE-MOL-0000005036,negative,59.1815952808
RE-MOL-0000401765,negative,55.1355952808
RE-MOL-0000009769,negative,41.9215952808
RE-MOL-0000376867,negative,96.1015952808
RE-MOL-0000401765,negative,60.9655952808
RE-MOL-0000017147,negative,51.5815952808
RE-MOL-0000376867,negative,-8.5884047192
RE-MOL-0000016073,negative,14.8815952808
RE-MOL-0000311663,negative,83.4215952808
RE-MOL-0000123129,negative,92.7915952808
RE-MOL-0000327950,negative,-2.2684047192
RE-MOL-0000000470,negative,36.8015952808
RE-MOL-0000322518,negative,67.6665952808
RE-MOL-0000123129,negative,91.1115952808
RE-MOL-0000401010,negative,61.5415952808
RE-MOL-0000009769,negative,59.7815952808
RE-MOL-0000017147,negative,58.1415952808
RE-MOL-0000071515,negative,1.6015952808
RE-MOL-0000448861,negative,-16.9084047192
RE-MOL-0000293455,negative,62.7715952808
RE-MOL-0000327950,negative,1.4315952808
RE-MOL-0001086878,negative,37.6115952808
RE-MOL-0000024449,negative,32.1315952808
RE-MOL-0000075422,negative,73.5215952808
RE-MOL-0000004249,negative,10.3815952808
RE-MOL-0000316629,negative,96.9915952808
RE-MOL-0000071515,negative,-7.1084047192
RE-MOL-0000123129,negative,87.84159528080001
RE-MOL-0001076992,negative,21.1915952808
RE-MOL-0000575640,negative,1.9615952808000001
RE-MOL-0000001293,negative,63.1715952808
RE-MOL-0000021716,negative,97.2415952808
RE-MOL-0000043950,negative,64.9115952808
RE-MOL-0000293904,negative,-3.1484047192
RE-MOL-0000327950,negative,-15.8184047192
RE-MOL-0000007863,negative,0.2315952808
RE-MOL-0001086878,negative,5.7415952808
RE-MOL-0000316629,negative,97.4715952808
RE-MOL-0000000603,negative,20.2715952808
RE-MOL-0000401010,negative,91.5015952808
RE-MOL-0000000470,negative,46.7615952808
RE-MOL-0000046105,negative,22.7015952808
RE-MOL-0000311663,negative,55.2815952808
RE-MOL-0000021716,negative,84.5115952808
RE-MOL-0000011320,negative,3.8115952808
RE-MOL-0000046105,negative,11.9715952808
