id1,id2,score
RE-MOL-0000318902,negative,0.03419323954077797
RE-MOL-0000001293,negative,-1.1090971735666635
RE-MOL-0000075422,negative,-0.3870643179383754
RE-MOL-0000123129,negative,-0.5524016617426765
RE-MOL-0000377210,negative,-0.2404452154892555
RE-MOL-0000001940,negative,-0.33518215251377664
RE-MOL-0000401010,negative,-1.5154636019737435
RE-MOL-0000123129,negative,-4.1057142085415705
RE-MOL-0000016073,negative,-0.012484050949166573
RE-MOL-0000017147,negative,-1.4751979208112536
RE-MOL-0000043950,negative,-1.674917367645203
RE-MOL-0000575640,negative,-2.174074075708956
RE-MOL-0000402554,negative,0.012760372507835157
RE-MOL-0000575386,negative,-0.013066261715998815
RE-MOL-0000017325,negative,-0.6344551611488822
RE-MOL-0000585498,negative,-6.050832620554971
RE-MOL-0000000470,negative,-0.45248295420082496
RE-MOL-0000000470,negative,-1.0043807595823604
RE-MOL-0000801341,negative,-0.020071179325898674
RE-MOL-0000801341,negative,0.1751528819957622
RE-MOL-0000293904,negative,0.1047178126937662
RE-MOL-0000316629,negative,-5.797138463317271
RE-MOL-0001086878,negative,-0.567074689477909
RE-MOL-0000017147,negative,-1.117211269254906
RE-MOL-0000007863,negative,-3.8183952114865187
RE-MOL-0000000470,negative,-0.6008091112994361
RE-MOL-0000377210,negative,-0.27703734165546046
RE-MOL-0000017147,negative,-1.3288550368168934
RE-MOL-0000061053,negative,0.07640044767873003
RE-MOL-0000024449,negative,-0.5636589338777156
RE-MOL-0000024449,negative,-0.5788784162028917
RE-MOL-0000377210,negative,-0.5241181243144615
RE-MOL-0000006951,negative,-0.6999722500555531
RE-MOL-0000009769,negative,-0.12424502165857054
RE-MOL-0000005036,negative,-1.1565497795149426
RE-MOL-0000046105,negative,-0.1433982082704086
RE-MOL-0000071515,negative,-0.00856026187134867
RE-MOL-0000293904,negative,-0.31332638724031364
RE-MOL-0000402554,negative,-0.024906865918798086
RE-MOL-0000009769,negative,-1.486472680895695
RE-MOL-0000005427,negative,-0.24522535306256962
RE-MOL-0000208410,negative,-0.1033266165852537
RE-MOL-0000274994,negative,0.02316172491989169
RE-MOL-0000075835,negative,-6.358868342836885
RE-MOL-0000001940,negative,0.16797957864775195
RE-MOL-0000046105,negative,-0.5623802081767661
RE-MOL-0000327950,negative,-0.04605084909769695
RE-MOL-0000012857,negative,-0.19663407468232721
RE-MOL-0000075422,negative,-1.2678298059932314
RE-MOL-0001086878,negative,0.03883515036637591
RE-MOL-0000005874,negative,-0.09333402064002963
RE-MOL-0000005427,negative,-0.05921825680419027
RE-MOL-0001086878,negative,-0.5172879922372297
RE-MOL-0000000470,negative,-0.8596558538641856
RE-MOL-0000016073,negative,-0.42510601469822384
RE-MOL-0000005427,negative,-0.0714454028180651
RE-MOL-0000001940,negative,-0.2921501313520837
RE-MOL-0000316629,negative,-5.567707592594642
RE-MOL-0000075422,negative,-1.573965021167983
RE-MOL-0001086878,negative,-0.7698363445799029
RE-MOL-0000005874,negative,-0.07492108668562923
RE-MOL-0000327950,negative,0.06140854859380302
RE-MOL-0000006951,negative,-3.878660941010887
RE-MOL-0000216978,negative,-0.030642739831990874
RE-MOL-0000347465,negative,-0.06494154695106981
RE-MOL-0000000470,negative,-0.5916489937034962
RE-MOL-0001086878,negative,-0.013794356016246902
RE-MOL-0001086878,negative,-0.9159792889267815
RE-MOL-0000003872,negative,-2.1256735847962265
RE-MOL-0000376867,negative,-5.494336668284697
RE-MOL-0000327950,negative,0.08090873182595203
RE-MOL-0000001940,negative,-0.797653748846767
RE-MOL-0000402383,negative,-1.1450181499651781
RE-MOL-0000024449,negative,-0.6353513730073026
RE-MOL-0000585498,negative,-6.070093894198401
RE-MOL-0000316629,negative,-5.098678555159427
RE-MOL-0000024449,negative,-0.7053727819680442
RE-MOL-0000293904,negative,0.2205577960183457
RE-MOL-0000009769,negative,-0.9644211312077834
RE-MOL-0000239211,negative,0.0454206731218973
RE-MOL-0000005036,negative,-1.374508797506237
RE-MOL-0000017835,negative,0.07557924846034651
RE-MOL-0000024449,negative,-0.5154308007458874
RE-MOL-0000000470,negative,-0.6093675293943753
RE-MOL-0000016073,negative,-0.18330363920686957
RE-MOL-0000001940,negative,0.030101625791996548
RE-MOL-0001086878,negative,-0.01102955141334336
RE-MOL-0000004249,negative,0.10592483004654087
RE-MOL-0000004057,negative,-0.021681270475719612
RE-MOL-0000004249,negative,0.08240836670149777
RE-MOL-0000575640,negative,-0.026081594452092332
RE-MOL-0000004057,negative,0.08906968543652621
RE-MOL-0000318902,negative,0.11034192686583591
RE-MOL-0000005874,negative,0.011716101003135844
RE-MOL-0000006951,negative,-4.637235009652345
RE-MOL-0000009357,negative,-0.21896096764362663
RE-MOL-0000006951,negative,-0.7413387725768052
RE-MOL-0000006951,negative,-0.31064000151415183
RE-MOL-0000213627,negative,-6.223346839285827
RE-MOL-0000293904,negative,-0.054865707295553054
RE-MOL-0000000470,negative,-0.6468257856156819
RE-MOL-0000208410,negative,-0.1704199307265626
RE-MOL-0000401010,negative,-1.1010286046135689
RE-MOL-0000293904,negative,0.2178312487634624
RE-MOL-0000012857,negative,0.13130506561047225
RE-MOL-0000017147,negative,-0.9814114003629274
RE-MOL-0000585498,negative,-5.652248181381565
RE-MOL-0000024449,negative,-0.5270256934480139
RE-MOL-0000327950,negative,0.04514104964183572
RE-MOL-0000043950,negative,-1.8232483127757682
RE-MOL-0000007863,negative,-1.361846440187651
RE-MOL-0000208410,negative,-0.09421158264964066
RE-MOL-0000575645,negative,-1.500283180115942
RE-MOL-0000075835,negative,-5.862790291338763
RE-MOL-0000123129,negative,-0.4568327816267465
RE-MOL-0000043950,negative,-1.7303252663171411
RE-MOL-0000071515,negative,0.08390644437357213
RE-MOL-0000318902,negative,-3.782218372550389
RE-MOL-0000005427,negative,-0.6235227959905415
RE-MOL-0000016073,negative,0.1773234352579071
RE-MOL-0000401010,negative,-1.450541580382045
RE-MOL-0000318902,negative,-3.5515802863248824
RE-MOL-0000192053,negative,-1.0874756808850554
RE-MOL-0000061053,negative,0.05336724048141849
RE-MOL-0001076992,negative,-0.49678552122247255
RE-MOL-0000000470,negative,-0.9054016539217216
RE-MOL-0000208410,negative,-0.02916983058228742
RE-MOL-0000316629,negative,-5.050069928894821
RE-MOL-0000012857,negative,-0.13466067992484118
RE-MOL-0000377210,negative,-0.20409336489384042
RE-MOL-0000005874,negative,-0.10362111522618836
RE-MOL-0000071515,negative,0.18318037616115398
RE-MOL-0000011320,negative,-0.2960416530578453
RE-MOL-0000064999,negative,0.000698163525036166
RE-MOL-0000327950,negative,0.10927235296363233
RE-MOL-0000208410,negative,-0.24676508881806034
RE-MOL-0000213627,negative,-1.313354985303584
RE-MOL-0000024449,negative,-0.6342312215651121
RE-MOL-0000001940,negative,-0.2508793189490271
RE-MOL-0000004249,negative,-0.49658196178448616
RE-MOL-0000264161,negative,0.11127714697138084
RE-MOL-0000376867,negative,-0.02299996312111466
RE-MOL-0000001293,negative,-0.41372227031798675
RE-MOL-0000004057,negative,-0.18003097085226796
RE-MOL-0000327950,negative,-0.4945479455316521
RE-MOL-0000042933,negative,-3.9393372598743657
RE-MOL-0000585498,negative,-5.412175128828028
RE-MOL-0000000470,negative,-0.45287784308759904
RE-MOL-0000016073,negative,0.053784271042760824
RE-MOL-0000001293,negative,-0.7814443573225166
RE-MOL-0000002081,negative,-1.3651872645995577
RE-MOL-0000046105,negative,-0.1700951728988108
RE-MOL-0000005036,negative,-1.2927082953847493
RE-MOL-0000401765,negative,-1.156356825898969
RE-MOL-0000009769,negative,-0.7839262685390156
RE-MOL-0000376867,negative,-4.680972315681439
RE-MOL-0000401765,negative,-1.3571818263714173
RE-MOL-0000017147,negative,-1.0463725484215027
RE-MOL-0000376867,negative,0.11887005758772101
RE-MOL-0000016073,negative,-0.23245698264396145
RE-MOL-0000311663,negative,-2.5926229067767506
RE-MOL-0000123129,negative,-3.7941761755723293
